_id,Major1,Major2,Major3
1657472,POL S,,
1300630,SOC,,
1547538,E E,,
928854,FINANC,,
1404285,KOREAN,ECON,
1452251,COM,,
1499175,OCEAN,,
1139563,SOC,,
1571497,BIOCHM,,
1320269,I S,OSCM,
1656386,OSCM,,
1408077,ENGL,,
1389991,PSYCH,,
1584172,LSJ,,
1406066,MPA,,
1447414,C SCI,,
1733060,ENV H,,
1534570,MATH,C SCI,
1256917,BIOCHM,,
1408041,MKTG,I S,
1648884,FINANC,,
1527624,E E,,
1592499,ECON,,
1565008,CIV E,,
1392704,C SCI,,
1831395,NURS,,
1378508,COM,,
1488763,LING,PSYCH,
1307848,INFO,,
1477117,BIOL,,
1471990,C SCI,STAT,
1588993,E E,,
1626812,REHABX,,
1682848,SOC,,
1472572,ACCTG,I S,
1624775,MLS,,
1621718,NURS,,
1833442,ECFS O,,
1561281,ATM S,,
1398491,CSE M,,
1417824,MKTG,ENTRE,
1399693,I S,MKTG,
1333783,B A,,
1604098,EURO,,
1411291,ENVIR,,
1388531,C SCI,,
1499645,BIOCHM,,
1388523,FINANC,CISB,
1414957,NURS,,
1399376,ARCHST,CM,
408168,NURS,,
1415459,M E,,
1486468,ENVIR,,
1397116,EDUC,,
1300411,E E,,
1392114,MATH,,
1824069,HIHIME,,
1319135,C SCI,,
1678887,BIOEN,,
1506754,ESRM,BIOL,
1408286,LSJ,,
1675643,PH,,
1556862,I S X,,
1550391,SIS,,
1382823,BIOCHM,NBIO,
1576678,C SCI,,
1389464,CIV E,,
1486721,COM,,
1575652,ANTH,,
1495921,SIS,,
1393195,ANTH,ANTH,
1338166,PSYCH,,
1325380,ACMS,,
